date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
9/11/85,"That's What Friends Are For, Dionne",That's What Friends Are For,Dionne,0.673,0.286,8.0,-14.643,1.0,0.0313,0.294,0.0,0.086,0.199,120.117,256467.0,0.8423566878980892
8/10/88,"Red Red Wine, UB40",Red Red Wine,UB40,0.857,0.468,1.0,-8.53,1.0,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,183733.0,0.8416622830089426
9/7/83,"Sweet Dreams (Are Made Of This), Eurythmics",Sweet Dreams (Are Made Of This),Eurythmics,0.692,0.711,0.0,-7.498,0.0,0.0317,0.225,0.0,0.12,0.875,125.135,216933.0,0.8407960199004975
9/5/81,"Being With You, Smokey Robinson",Being With You,Smokey Robinson,0.649,0.434,0.0,-9.529,0.0,0.0267,0.764,2.44e-06,0.0822,0.572,108.754,246960.0,0.8400537634408601
9/1/82,"Private Eyes, Daryl Hall John Oates",Private Eyes,Daryl Hall John Oates,0.85,0.938,9.0,-6.889,0.0,0.0415,0.409,0.000346,0.0582,0.84,120.826,217200.0,0.8330708661417323
9/4/83,"Separate Ways (Worlds Apart), Journey",Separate Ways (Worlds Apart),Journey,0.451,0.962,0.0,-3.947,1.0,0.0734,0.0188,3.17e-06,0.277,0.377,131.435,323707.0,0.8328530259365995
9/6/84,"Against All Odds (Take A Look At Me Now), Phil Collins",Against All Odds (Take A Look At Me Now),Phil Collins,0.58,0.498,1.0,-6.901,1.0,0.0277,0.198,0.0,0.132,0.111,116.271,206360.0,0.8275862068965517
9/12/89,"Another Day In Paradise, Phil Collins",Another Day In Paradise,Phil Collins,0.78,0.565,3.0,-7.32,0.0,0.0306,0.736,0.00269,0.063,0.365,101.967,322133.0,0.8265306122448979
9/6/84,"Hello, Lionel Richie",Hello,Lionel Richie,0.487,0.246,9.0,-14.104,0.0,0.0376,0.414,0.0,0.0983,0.0562,61.084,251107.0,0.8263988522238164
9/6/84,"Let's Hear It For The Boy, Deniece Williams",Let's Hear It For The Boy,Deniece Williams,0.808,0.485,0.0,-8.829,1.0,0.056,0.0761,0.00414,0.0477,0.714,122.659,262440.0,0.8223234624145785
8/9/90,"Close To You, Maxi Priest",Close To You,Maxi Priest,0.781,0.478,6.0,-15.427,1.0,0.0561,0.0849,3.93e-06,0.0877,0.962,95.992,325800.0,0.8181818181818182
9/10/82,"Mickey, Toni Basil",Mickey,Toni Basil,0.595,0.928,4.0,-4.457,1.0,0.0503,0.0569,0.0,0.0336,0.982,149.975,252885.0,0.8154362416107382
8/5/82,"I Love Rock 'N Roll, Joan Jett",I Love Rock 'N Roll,Joan Jett,0.535,0.716,4.0,-5.025,1.0,0.0431,0.326,0.0,0.659,0.901,94.379,175173.0,0.8130081300813008
8/8/81,"Slow Hand, The Pointer Sisters",Slow Hand,The Pointer Sisters,0.826,0.558,6.0,-7.766,1.0,0.0322,0.403,1.94e-05,0.0631,0.359,110.77,231960.0,0.8124118476727784
9/7/83,"Maniac, Michael Sembello",Maniac,Michael Sembello,0.617,0.533,3.0,-11.516,0.0,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,244707.0,0.8120805369127517
9/11/85,"Alive & Kicking, Simple Minds",Alive & Kicking,Simple Minds,0.572,0.913,0.0,-4.26,1.0,0.0362,0.0753,1.5e-05,0.128,0.561,103.265,289453.0,0.8113590263691683
9/12/89,"Back To Life, Soul II Soul",Back To Life,Soul II Soul,0.817,0.484,7.0,-11.659,1.0,0.143,0.0515,0.000213,0.0391,0.671,100.978,228267.0,0.8107549120992761
7/4/84,"Jump, Van Halen",Jump,Van Halen,0.572,0.835,0.0,-6.219,1.0,0.0317,0.171,0.000377,0.0702,0.795,129.981,241600.0,0.8091743119266055
9/5/81,"Kiss On My List, Daryl Hall John Oates",Kiss On My List,Daryl Hall John Oates,0.815,0.741,0.0,-9.478,1.0,0.031,0.434,0.115,0.0689,0.965,121.221,264987.0,0.808868501529052
7/3/81,"It's My Turn, Diana Ross",It's My Turn,Diana Ross,0.355,0.445,8.0,-10.221,1.0,0.028,0.401,0.0,0.244,0.357,76.093,236027.0,0.8076923076923077
7/3/81,"Passion, Rod Stewart",Passion,Rod Stewart,0.692,0.525,9.0,-12.691,1.0,0.0373,0.0212,0.0019,0.0944,0.0879,103.679,333200.0,0.8069164265129682
9/6/84,"Dancing In The Dark, Bruce Springsteen",Dancing In The Dark,Bruce Springsteen,0.527,0.942,1.0,-5.64,0.0,0.0366,0.0115,0.0,0.188,0.495,148.723,241307.0,0.8062157221206582
9/1/82,"Shake It Up, The Cars",Shake It Up,The Cars,0.686,0.827,0.0,-5.738,1.0,0.0321,0.134,5.03e-05,0.126,0.854,147.623,211960.0,0.8039867109634552
9/1/82,"The Sweetest Thing (I've Ever Known), Juice Newton",The Sweetest Thing (I've Ever Known),Juice Newton,0.253,0.323,7.0,-10.124,1.0,0.0268,0.55,1.22e-06,0.253,0.216,152.949,247227.0,0.8033472803347279
8/7/89,"Into The Night, Benny Mardones",Into The Night,Benny Mardones,0.435,0.69,0.0,-6.635,0.0,0.0388,0.463,0.0,0.104,0.51,163.486,271800.0,0.7982233502538072
9/11/85,"I Miss You, Klymaxx",I Miss You,Klymaxx,0.553,0.345,5.0,-18.267,1.0,0.0342,0.499,0.0,0.252,0.305,139.562,333267.0,0.7956480605487227
